ID,release_type,SEX,Area,area (m2),SVL,Fix
1,SR,M,0.008925,89.25,75,35
2,SR,F,0.017856,178.56,76,32
3,SR,M,0.02636,263.6,78,33
4,SR,F,0.005904,59.04,83,12
5,SR,M,0.018852,188.52,90,43
6,SR,M,0.009376,93.76,86,39
8,SR,M,0.008825,88.25,88,10
9,SR,M,0.055468,554.68,85,12
11,SR,M,0.001652,16.52,80,14
12,SR,M,0.002701,27.01,85,24
13,SR,F,0.015951,159.51,83,30
16,SR,F,0.006073,60.73,84,28
20,HR,M,0.009688,96.88,73,19
21,HR,F,0.004436,44.36,81,32
22,HR,M,0.03141,314.1,77,31
23,HR,M,0.074778,747.78,83,23
24,HR,M,0.049201,492.01,83,23
26,HR,M,0.059222,592.22,72,29
27,HR,M,0.096774,967.74,78,30
