ID,release_type,Sex,SVL,Date,Time,hours,Temp,Rainfall,Humidity,Cloud cover,Fix,Distance,Direction,Ht_ground,Tree spp,Tree_ht,Microhabitat,Orientation,Activity,Disturbed
19,HR,M,81,5/02/18,1417,NA,23.4,0,61,1.5,1,28.3,320,1.64,kanuka,2.8,3 branch,down,not moving,No
19,HR,M,81,6/02/18,1324,23.12,22.6,0,53,0.5,2,30.7,210,2.5,Ngaio,3,2 branch,down,basking,No
19,HR,M,81,7/02/18,1530,26.10,25.7,0,43,5,3,2.48,219,NA,kanuka,3.15,NA,NA,NA,No
19,HR,M,81,8/02/18,1509,23.65,25.8,0,44,2,4,1.5,50,NA,Ngaio,3.3,NA,NA,NA,No
19,HR,M,81,12/02/18,1516,96.12,22.1,0,92,8,5,2.1,94,NA,kanuka,3.35,NA,NA,NA,No
19,HR,M,81,14/02/18,1232,45.27,23.4,0,70,8,6,118.5,322,2.51,kanuka,3.37,2 branch,up,not moving,No
20,HR,M,73,5/02/18,1432,NA,23.4,0,61,1.5,1,7.25,344,0,grass,NA,long grass,horizontal,not moving,Yes
20,HR,M,73,6/02/18,2238,32.10,14.3,0,73,1,2,3.48,68,0.89,UNID6,2.47,2 branch,up,not moving,No
20,HR,M,73,7/02/18,1315,14.62,25.7,0,43,5,3,5,28,2.4,Ngaio,3.22,4 branch,up,not moving,No
20,HR,M,73,8/02/18,1550,26.58,25.8,0,44,2,4,1.3,100,NA,kanuka,4.07,NA,NA,NA,No
20,HR,M,73,12/02/18,1356,94.10,22.1,0,92,8,5,3.35,346,NA,kanuka,4.12,NA,NA,NA,No
20,HR,M,73,13/02/18,1319,23.38,24.1,0,75,6,6,1.75,143,NA,kanuka,4.12,NA,NA,NA,No
20,HR,M,73,14/02/18,2327,34.13,18.9,0,85,1,7,1.6,315,NA,kanuka,4.12,NA,NA,NA,No
20,HR,M,73,15/02/18,1254,13.45,22.6,0,70,0.5,8,1.41,20,NA,kanuka,4.12,NA,NA,NA,No
20,HR,M,73,17/02/18,1428,49.57,21.3,1,94,3,9,0.84,229,3.54,kanuka,4.02,4 branch,down,not moving,No
20,HR,M,73,18/02/18,2338,33.17,20.7,0,81,0,10,0.45,78,NA,kanuka,4.02,NA,NA,NA,No
20,HR,M,73,19/02/18,1311,13.55,23.5,33.8,67,8,11,0.73,205,NA,kanuka,4.02,NA,NA,NA,No
20,HR,M,73,21/02/18,1455,49.73,19.5,14.4,64,1.5,12,2.15,226,NA,kanuka,3.98,NA,NA,NA,No
20,HR,M,73,22/02/18,1316,22.35,17.2,0,69,7.5,13,0.57,82,1.84,kanuka,3.98,2 branch,up,not moving,No
20,HR,M,73,23/02/18,1720,28.07,20.6,0,67,6,14,0,NA,NA,kanuka,3.98,NA,NA,NA,No
20,HR,M,73,24/02/18,100,7.67,19.5,0,73,5,15,2.7,200,3.2,kanuka,4,foliage,NA,NA,No
20,HR,M,73,24/02/18,1420,13.33,22,0,69,1,16,4.1,30,NA,kanuka,5,?foliage,NA,NA,No
20,HR,M,73,24/02/18,2224,8.07,19.2,0,78,7,17,1.9,330,NA,kanuka,3.8,NA,NA,NA,No
20,HR,M,73,25/02/18,1310,14.77,21.2,3.4,53,4,18,4.1,190,3.3,kanuka,3.6,foliage,NA,NA,No
24,HR,M,83,5/02/18,1359,NA,23.4,0,61,1.5,1,25.9,228,0.55,kanuka,3.4,trunk,down,moving,No
24,HR,M,83,6/02/18,1542,25.72,22.6,0,53,0.5,2,11.6,110,NA,Ngaio,3.9,NA,NA,NA,No
24,HR,M,83,7/02/18,2234,30.87,15.7,0,65,0,3,13.9,79,NA,Ngaio,3.55,NA,NA,NA,No
24,HR,M,83,8/02/18,1328,14.90,25.8,0,44,2,4,18.8,210,0,grass,NA,long grass,horizontal,not moving,Yes
24,HR,M,83,12/02/18,1555,98.45,22.1,0,92,8,5,2.85,134,NA,Ngaio,3.1,NA,NA,NA,No
24,HR,M,83,14/02/18,1454,46.98,23.4,0,70,8,6,27.7,39,NA,Ngaio,5.22,NA,NA,NA,No
24,HR,M,83,17/02/18,1328,70.57,21.3,1,94,3,7,13.54,220,NA,Ngaio,3.82,NA,NA,NA,No
24,HR,M,83,18/02/18,1557,26.48,23.3,0,79,3,8,3.45,151,3.35,Ngaio,3.7,2 branch,up,not moving,No
24,HR,M,83,21/02/18,1410,70.22,19.5,14.4,64,1.5,9,3.17,237,NA,UNID6,3.73,NA,NA,NA,No
24,HR,M,83,22/02/18,1540,25.50,17.2,0,69,7.5,10,3.95,332,1.87,Ngaio,4,3 branch,down,not moving,No
24,HR,M,83,23/02/18,1342,22.03,20.6,0,67,6,11,6.8,10,NA,Ngaio,4.2,NA,NA,NA,No
24,HR,M,83,24/02/18,1215,22.55,22,0,69,1,12,13.2,80,1.6,Ngaio,2.8,dead branch,up,not moving,Yes
24,HR,M,83,25/02/18,2308,34.88,18.8,3.4,64,1,13,11.9,305,NA,Ngaio,4.4,foam cover,NA,NA,No
24,HR,M,83,26/02/18,1750,18.70,15,6,66,1,14,6.3,150,3.4,PITten,5,2 branch,down,not moving,No
24,HR,M,83,26/02/18,2325,5.58,15,6,66,1,15,0.4,230,3.3,PITten,5,NA,NA,NA,No
24,HR,M,83,27/02/18,1239,13.23,19.1,6.2,54,4,16,1.2,210,3.3,PITten,5,3 branch,up,not moving,No
24,HR,M,83,28/02/18,1127,22.80,21.2,0.2,81,8,17,2.7,190,1.7,Ngaio,5.5,branch,down,not moving,No
24,HR,M,83,1/03/18,2254,35.45,17.5,0,82,8,18,7.51,191,NA,lancewood,5.4,NA,NA,NA,No
24,HR,M,83,2/03/18,1303,14.15,23.2,0,70,8,19,7.77,2,3.62,Ngaio,4.82,2 branch,up,basking,No
24,HR,M,83,4/03/18,2235,57.53,19.7,0,75,5,20,0.44,258,2.89,COProb,3.75,foliage,up,moving,No
24,HR,M,83,5/03/18,28,1.88,20.5,0,80,0,21,0,NA,NA,UNID18,3.75,NA,NA,NA,No
24,HR,M,83,8/03/18,1250,84.37,15.5,0,83,8,22,9.1,70,0.59,Ngaio,5.16,1 branch,horizontal,not moving,Yes
25,HR,F,79,5/02/18,1320,NA,23.4,0,61,1.5,1,22.5,235,0.8,kanuka,1.26,foliage,uo,not moving,No
25,HR,F,79,6/02/18,1523,26.05,22.6,0,53,0.5,2,19.5,130,NA,kanuka,1.6,NA,NA,NA,No
25,HR,F,79,7/02/18,1559,24.60,25.7,0,43,5,3,4.4,296,0,grass,NA,long grass,horizontal,moving,Yes
25,HR,F,79,8/02/18,1255,20.93,25.8,0,44,2,4,1.52,222,0,grass,NA,long grass,horizontal,moving,No
25,HR,F,79,12/02/18,1532,98.62,22.1,0,92,8,5,4.5,70,0.8,UNID12,1.6,2 branch,down,moving,Yes
25,HR,F,79,14/02/18,1436,47.07,23.4,0,70,8,6,9.4,152,NA,NA,NA,NA,NA,NA,No
25,HR,F,79,17/02/18,2300,80.40,20.3,1,95,7,7,17.95,62,0,ground,NA,ground,NA,NA,No
1/G23,SR,M,75,13/01/18,1748,NA,27.1,0,59,2,0,NA,NA,0.8,kanuka,3,branch,NA,basking,Yes
1/G23,SR,M,75,14/01/18,1502,21.23,27.3,0,58,0,1,2.1,270,2.1,kanuka,NA,branch,up,not moving,No
1/G23,SR,M,75,15/01/18,0,8.97,19.2,0.2,72,0,2,4,0,2.2,kanuka,3,?foliage,NA,NA,No
1/G23,SR,M,75,15/01/18,1330,13.50,29.8,0.2,55,3,3,4.2,0,2.2,kanuka,3,branch?,NA,NA,No
1/G23,SR,M,75,15/01/18,0,10.50,20.6,0.2,80,0,4,1.6,270,2.4,kanuka,3,branch,NA,NA,No
1/G23,SR,M,75,16/01/18,1447,14.78,25.9,0,56,6,5,1.1,120,2,kanuka,3,1 branch,NA,NA,No
1/G23,SR,M,75,17/01/18,1430,23.72,24.9,24.6,52,8,6,3.2,60,NA,kanuka,3,NA,NA,NA,No
1/G23,SR,M,75,19/01/18,1030,44.00,20.3,0.2,95,7,7,1.6,250,0.85,kanuka,3.5,1 branch,NA,NA,Yes
1/G23,SR,M,75,20/01/18,1310,26.67,23.8,0,74,2,8,15.4,100,3.45,PITten,NA,2 branch,NA,NA,No
1/G23,SR,M,75,21/01/18,2228,33.30,20.1,0,89,8,9,0.5,270,NA,PITten,5.4,foliage,NA,NA,No
1/G23,SR,M,75,22/01/18,1800,19.53,22.5,0,78,7.5,10,4.5,230,NA,kanuka,3.9,NA,NA,NA,No
1/G23,SR,M,75,23/01/18,2257,28.95,22.2,0,82,8,11,2.4,230,NA,kanuka,3.9,NA,NA,NA,No
1/G23,SR,M,75,24/01/18,1305,14.13,26.3,0,70,0.5,12,1.8,290,NA,kanuka,3.05,NA,NA,NA,No
1/G23,SR,M,75,24/01/18,2250,9.75,21.1,0,90,0.5,13,1.45,340,NA,kanuka,3.05,NA,NA,NA,No
1/G23,SR,M,75,28/01/18,2240,95.83,20.2,0,87,2,14,2.8,117.5,NA,kanuka,3.05,NA,NA,NA,No
1/G23,SR,M,75,29/01/18,1630,17.83,24.3,0,69,0,15,1.1,67,1.6,kanuka,3.6,1 branch,down,not moving,Yes
1/G23,SR,M,75,30/01/18,1551,23.35,24.3,0,75,7,16,0.4,201,NA,kanuka,3.6,NA,NA,NA,No
1/G23,SR,M,75,30/01/18,34,8.72,21.2,0,88,6,17,1.35,7.5,NA,kanuka,3.6,NA,NA,NA,No
1/G23,SR,M,75,1/02/18,1305,36.52,24.1,27.2,73,8,18,2.9,190,NA,kanuka,3.65,NA,NA,NA,No
1/G23,SR,M,75,2/02/18,1509,26.07,21.3,0,66,6.5,19,3.5,220,NA,kanuka,3.5,NA,NA,NA,No
1/G23,SR,M,75,2/02/18,2359,8.83,15.1,0,71,7,20,1.5,44,NA,kanuka,3.8,NA,NA,NA,No
1/G23,SR,M,75,3/02/18,1251,12.87,17.4,0,61,7.5,21,1.55,272,NA,kanuka,3.6,NA,NA,NA,No
