Number,Animal  Code / ID (G#),Group,Sex,SVL,VTL,mass,,,
1,G23 (Wally),SR,M,75,88,9.8,,,
2,G12*?,SR,F,76,85,11.48,,,
3,G28 (Sparkle),SR,M,78,90,10.28,,,
4,G01 (Fou),SR,F,83,92,14.11,,,
5,G32 (Sloughy),SR,M,90,90/3,14.76,,,
6,G18 (Ame),SR,M,86,13/56,15.02,,,
7,G27,SR,F,80,95,13.62,,,
8,G11?,SR,M,88,24/68,12.66,,,
9,G35,SR,M,85,26/54,12.53,,,
10,G25,SR,M,81,93,13.98,,,
11,G09,SR,M,80,91,12.22,,,
12,G15 (One Eye),SR,M,85,Dec-71,13.53,,,
13,G26 (Onaji),SR,F,83,102,14.82,,,
14,G13 or G16,SR,M,79,95,12.8,,,
15,G10,SR,F,82,107,16.51,,,
16,G38 (Tsuki),SR,F,84,80,12.57,,,
19,Traveller,HR,M,81,100,14.11,,,
20,Kenzie,HR,M,73,83,10.64,,,
21,Neilla de'Grasse Treeson,HR,F,81,88,11.98,,,
22,Scarpa,HR,M,77,89,13.13,,,
23,Ookami,HR,M,83,101,14.55,,,
24,Johnny Low Brown Log,HR,M,83,101,11.76,,,
25,,HR,F,79,90,11.59,,,
26,Mokochi,HR,M,72,97,8.88,,,
27,Casper,HR,M,78,93,11.7,,,
28,Jimbo McGee,?HR,M,82,98,14.83,,,
