ID,Distance,sex,SVL,release_type,hours,,,,,,
1,21.456,M,75,SR,930.7,,,,,,
2,26.704,F,76,SR,937.2,,,,,SR,HR
3,17.363,M,78,SR,1258.55,,,,min,5.374,14.116
4,11.66,F,83,SR,1260.5,,,,max,47.374,143.913
5,47.374,M,90,SR,1174.35,,,,median,16.032625,49.29766667
6,9.082,M,86,SR,1168.92,,,,se,2.937314193,13.7776713
7,11.983,F,80,SR,964.8,,,,,,
8,10.336,M,88,SR,309.63,,,,,,
9,35.883,M,85,SR,1223.4,,,,,,
10,5.374,M,81,SR,126.75,,,,,,
11,6.563,M,80,SR,491.67,,,,,,
12,5.381,M,85,SR,841.5,,,,,,
13,13.592,F,83,SR,1149.88,,,,,,
14,14.289,N,79,SR,120.05,,,,,,
15,5.992,F,82,SR,228.77,,,,,,
16,13.49,F,84,SR,860.38,,,,,,
19,143.913,M,81,HR,214.25,,,,,,
20,17.249,M,73,HR,478.63,,,,,,
21,18.371,F,81,HR,766.47,,,,,,
22,46.059,M,77,HR,669.98,,,,,,
23,79.392,M,83,HR,751.73,,,,,,
24,38.105,M,83,HR,742.85,,,,,,
25,14.116,F,79,HR,297.67,,,,,,
26,29.47,M,72,HR,769.78,,,,,,
27,57.004,M,78,HR,792.57,,,,,,
