ID,Time,Fix,Disturbed,release_type,Sex,SVL,Temp,Rainfall,Humidity,Cloud cover,Distance,Direction,Ht_ground,Tree spp,Tree_ht,Microhabitat,Orientation,Activity
19,1417,1,1,1,1,81,23.4,0,61,1.5,28.3,320,1.64,1,2.8,3,2,1
19,1324,2,1,1,1,81,22.6,0,53,0.5,30.7,210,2.5,2,3,2,2,3
19,1232,6,1,1,1,81,23.4,0,70,8,118.5,322,2.51,1,3.37,2,1,1
20,1432,1,2,1,1,73,23.4,0,61,1.5,7.25,344,0,3,0,5,3,1
20,2238,2,1,1,1,73,14.3,0,73,1,3.48,68,0.89,12,2.47,2,1,1
20,1315,3,1,1,1,73,25.7,0,43,5,5,28,2.4,2,3.22,6,1,1
20,1428,9,1,1,1,73,21.3,1,94,3,0.84,229,3.54,1,4.02,6,2,1
20,1316,13,1,1,1,73,17.2,0,69,7.5,0.57,82,1.84,1,3.98,2,1,1
24,1359,1,1,1,1,83,23.4,0,61,1.5,25.9,228,0.55,1,3.4,8,2,2
24,1328,4,2,1,1,83,25.8,0,44,2,18.8,210,0,3,0,5,3,1
24,1557,8,1,1,1,83,23.3,0,79,3,3.45,151,3.35,2,3.7,2,1,1
24,1540,10,1,1,1,83,17.2,0,69,7.5,3.95,332,1.87,2,4,3,2,1
24,1215,12,2,1,1,83,22,0,69,1,13.2,80,1.6,2,2.8,9,1,1
24,1750,14,1,1,1,83,15,6,66,1,6.3,150,3.4,4,5,2,2,1
24,1239,16,1,1,1,83,19.1,6.2,54,4,1.2,210,3.3,4,5,3,1,1
24,1127,17,1,1,1,83,21.2,0.2,81,8,2.7,190,1.7,2,5.5,10,2,1
24,1303,19,1,1,1,83,23.2,0,70,8,7.77,2,3.62,2,4.82,2,1,3
24,2235,20,1,1,1,83,19.7,0,75,5,0.44,258,2.89,6,3.75,4,1,2
24,1250,22,2,1,1,83,15.5,0,83,8,9.1,70,0.59,2,5.16,1,3,1
25,1320,1,1,1,2,79,23.4,0,61,1.5,22.5,235,0.8,1,1.26,4,1,1
25,1559,3,2,1,2,79,25.7,0,43,5,4.4,296,0,3,0,5,3,2
25,1255,4,1,1,2,79,25.8,0,44,2,1.52,222,0,3,0,5,3,2
25,1532,5,2,1,2,79,22.1,0,92,8,4.5,70,0.8,20,1.6,2,2,2
1,1502,1,1,2,1,75,27.3,0,58,0,2.1,270,2.1,1,2.1,10,1,1
1,1630,15,2,2,1,75,24.3,0,69,0,1.1,67,1.6,1,3.6,1,2,1
1,1614,31,2,2,1,75,21.3,1,94,3,1.51,5,2.25,1,3.6,2,3,1
1,1230,34,2,2,1,75,19.5,14.4,64,1.5,1.95,203,1.37,2,3.69,2,1,1
11,1630,5,2,2,1,80,22.5,0,78,7.5,11.5,270,1.75,1,1.75,1,1,1
11,1530,8,2,2,1,80,24.3,0,69,0,2.2,8,1.8,1,3.5,3,2,1
11,1334,9,1,2,1,80,24.3,0,75,7,1.7,218,1,1,3.5,11,2,1
11,1305,10,1,2,1,80,21.3,0,66,6.5,1.5,20,2.7,1,3.5,6,1,1
11,1504,11,1,2,1,80,17.4,0,61,7.5,3.2,172,2.62,1,3.65,6,1,2
12,2355,9,2,2,1,85,21.2,0,83,0,1.2,170,1.1,5,3,1,1,1
12,1335,12,1,2,1,85,21.3,0,66,6.5,2.5,210,2.75,1,3.6,6,1,4
12,1510,13,1,2,1,85,17.4,0,61,7.5,0.3,80,2.85,1,3.6,3,2,2
12,2317,14,1,2,1,85,18.8,0,77,0,2.7,160,2.79,1,3.6,13,3,1
12,2346,20,1,2,1,85,19.9,0,87,1,1.1,252,2.38,1,3.6,7,2,2
12,1440,21,1,2,1,85,21.3,1,94,3,2.19,5,2.6,1,3.6,3,2,1
12,1340,22,1,2,1,85,23.3,0,79,3,0.8,205,2.9,1,3.6,2,1,3
12,1320,23,1,2,1,85,19.5,14.4,64,1.5,1.23,208,2.27,1,3.6,3,1,2
