ID,release_type,site,not moving,moving,basking,eating
1,SR,1,0.666666667,0.166666667,0.166666667,0
2,SR,1,0.333333333,0.5,0.166666667,0
3,SR,1,0.411764706,0.588235294,0,0
4,SR,1,1,0,0,0
5,SR,1,0.444444444,0.555555556,0,0
6,SR,1,0.5,0.416666667,0.083333333,0
7,SR,1,1,0,0,0
8,SR,1,0,1,0,0
9,SR,1,0.2,0.8,0,0
11,SR,1,0.8,0.2,0,0
12,SR,1,0.333333333,0.444444444,0.111111111,0.111111111
13,SR,1,1,0,0,0
15,SR,1,1,0,0,0
16,SR,1,0.5,0.333333333,0.166666667,0
19,HR,1,0.666666667,0,0.333333333,0
20,HR,1,1,0,0,0
21,HR,1,0.3,0.7,0,0
22,HR,1,0.857142857,0.142857143,0,0
23,HR,1,0.75,0.25,0,0
24,HR,1,0.6,0.333333333,0.066666667,0
25,HR,1,0.25,0.75,0,0
26,HR,1,0.7,0.3,0,0
27,HR,1,0.4,0.466666667,0.133333333,0
