ID,release_type,Site,up,down,horizontal
1,SR,1,0.5,0.25,0.25
2,SR,1,0.5,0.5,0
3,SR,1,0.375,0.5625,0.0625
4,SR,1,0,1,0
5,SR,1,0.625,0.125,0.25
6,SR,1,0.583333333,0.333333333,0.083333333
8,SR,1,0,1,0
9,SR,1,0.4,0.6,0
11,SR,1,0.6,0.4,0
12,SR,1,0.555555556,0.333333333,0.111111111
13,SR,1,0.285714286,0.714285714,0
15,SR,1,1,0,0
16,SR,1,0.75,0.166666667,0.083333333
19,HR,1,0.333333333,0.666666667,0
20,HR,1,0.6,0.2,0.2
21,HR,1,0,0.2,0.8
22,HR,1,0.5,0.357142857,0.142857143
23,HR,1,0.5,0.25,0.25
24,HR,1,0.454545455,0.363636364,0.181818182
25,HR,1,0.25,0.25,0.5
26,HR,1,0.333333333,0.444444444,0.222222222
27,HR,1,0.642857143,0.285714286,0.071428571
