ID,release_type,site,kanuka,Ngaio,grass,COProb,lancewood,PITten,PITcra,PITeug,OLEpan,PSEarb,NZ flax,KNIexc
1,SR,1,0.885714286,0.028571429,0,0,0,0.085714286,0,0,0,0,0,0
2,SR,1,0.7,0.166666667,0,0.033333333,0,0.1,0,0,0,0,0,0
3,SR,1,0.037037037,0.814814815,0,0.037037037,0,0.111111111,0,0,0,0,0,0
4,SR,1,0.818181818,0.090909091,0,0,0,0,0.090909091,0,0,0,0,0
5,SR,1,0.953488372,0.023255814,0,0,0,0.023255814,0,0,0,0,0,0
6,SR,1,0.135135135,0.081081081,0,0.027027027,0,0.459459459,0,0,0.297297297,0,0,0
7,SR,1,0,1,0,0,0,0,0,0,0,0,0,0
8,SR,1,0.375,0.5,0,0,0,0.125,0,0,0,0,0,0
9,SR,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0
10,SR,1,0.833333333,0.166666667,0,0,0,0,0,0,0,0,0,0
11,SR,1,0.785714286,0,0,0,0,0.214285714,0,0,0,0,0,0
12,SR,1,0.916666667,0,0,0,0,0,0,0.041666667,0.041666667,0,0,0
13,SR,1,0.166666667,0,0,0,0,0.533333333,0,0,0.3,0,0,0
15,SR,1,0.8,0,0,0,0,0.2,0,0,0,0,0,0
16,SR,1,1,0,0,0,0,0,0,0,0,0,0,0
19,HR,1,0.666666667,0.333333333,0,0,0,0,0,0,0,0,0,0
20,HR,1,0.833333333,0.055555556,0.055555556,0.055555556,0,0,0,0,0,0,0,0
21,HR,1,0.677419355,0,0.322580645,0,0,0,0,0,0,0,0,0
22,HR,1,0.633333333,0.166666667,0.033333333,0,0,0.033333333,0,0.133333333,0,0,0,0
23,HR,1,0.263157895,0.157894737,0,0.157894737,0,0.263157895,0,0,0,0.105263158,0.052631579,0
24,HR,1,0.045454545,0.590909091,0.045454545,0.136363636,0.045454545,0.136363636,0,0,0,0,0,0
25,HR,1,0.5,0,0.5,0,0,0,0,0,0,0,0,0
26,HR,1,0.407407407,0.407407407,0,0.037037037,0,0.111111111,0,0,0.037037037,0,0,0
27,HR,1,0.25,0.642857143,0.035714286,0,0,0.035714286,0,0,0,0,0,0.035714286
