ID,SR,HR,releasetype,not moving,moving,basking,feeding
1,1,0,SR,66.66666667,16.66666667,16.66666667,0
10,1,0,SR,66.66666667,16.66666667,16.66666667,0
11,1,0,SR,0,0,0,0
12,1,0,SR,80,20,0,0
13,1,0,SR,33.33333333,44.44444444,11.11111111,11.11111111
19,0,1,HR,66.66666667,0,33.33333333,0
20,0,1,HR,83.33333333,16.66666667,0,0
21,0,1,HR,66.66666667,28.57142857,4.761904762,0
22,0,1,HR,85.71428571,14.28571429,0,0
23,0,1,HR,75,25,0,0
24,0,1,HR,72.72727273,18.18181818,9.090909091,0
25,0,1,HR,25,75,0,0
26,0,1,HR,70,30,0,0
27,0,1,HR,40,46.66666667,13.33333333,0
